GROUP,VOLT_FLAG,SURVEY_ID,SCORE,LTR_COMMENT,PRIMARY_REASON,MONTH,CONNECTION_TIME,SALES_PERSON_SAT,SALES_FRIENDLY_SAT,COMMINICATION_SAT,FIRST_BILL_SAT,AGENT_KNOWLEDGE,VOLT_FLAG_BINARY,TREATMENT_BINARY
control,yes,351664275,10,Very good customer service,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0
control,yes,351723391,10,"So far so good. Charlie was very efficient and helpful. Let¬""s hope it continues so. I am confident it will",,2023-03-01,10,,10,10,10,10,1,0
control,yes,352243612,10,Because Chris was amazing when she contacted me after I had put my details online.,"Customer Service,UK Legacy",2023-03-01,10,,10,10,10,10,1,0
control,yes,351719094,3,Price of my bundle went up 2 days after i placed the order,"General,Pricing,UK Legacy",2023-03-01,6,6,6,4,6,6,1,0
control,yes,352289348,9,Simple and straightforward process but a lot of information and things to remember over the phone.,,2023-03-01,9,,,10,10,9,1,0
control,yes,351660569,9,,,2023-03-01,10,8,6,10,10,5,1,0
control,yes,351769079,9,,,2023-03-01,10,8,7,10,10,5,1,0
control,yes,351783636,10,The work we have had done so far has been done to a high standard. Both the phone agent and the people who came to our house were very professional and polite. Would definitely recommend.,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0
control,yes,352519049,10,Great service from Tony,General,2023-03-01,10,10,10,10,10,10,1,0
control,yes,351948395,0,"Two days on what¬""s ap.",,2023-03-01,0,0,0,0,0,0,1,0
control,yes,352527696,10,"Spoke with several company people. My first contact was with steph who took extreme care to explain all the options available on a conversation that lasted over an hour. Many thanks steph. Following that I spoke with three more people as it became clear to my husband that the penalty fee for leaving BT put us in the invidious position, as pensioners, of not being able to proceed. I spoke with Ine who managed somehow to procure part of BT's despicable fee which finally allowed us to go ahead. Many thanks therefore to the people who helped.","Deepdive,Internet,Internet Service,Reliability GeneralUK Legacy,Customer Service,General,Pricing,UK Legacy",2023-03-01,10,10,5,10,10,10,1,0
control,yes,351777915,10,they where nice and pleasent aswell,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,352441889,5,It is alright reasonably good,,2023-03-01,10,5,2,10,10,7,1,0
control,yes,352157525,0,,,2023-03-01,0,0,0,0,0,0,1,0
control,yes,351983488,10,Extremely helpful engineer on visit Jo 32725,"Customer Service,Technician",2023-03-01,10,10,10,10,10,10,1,0
control,yes,352769116,10,"Dee, who took me through the ordering process, could not have been more helpful. She went over and above.","Customer Service,General,UK Legacy",2023-03-01,10,5,5,10,10,10,1,0
control,yes,352894038,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,352775536,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,352898567,10,"Mat was brilliant, followed up with me when I was advailabe. Really professional and plesent to deal with.",Customer Service,2023-03-01,10,5,5,10,10,10,1,0
control,yes,352939297,6,Tryed to get a phone,,2023-03-01,5,5,5,5,5,5,1,0
control,yes,352228322,10,Excellent customer service,"Customer Service,General,UK Legacy",2023-03-01,10,9,9,10,10,10,1,0
control,yes,352792607,10,service was very good,,2023-03-01,8,10,8,,10,10,1,0
control,yes,353115361,10,Professional service,"Customer Service,General,UK Legacy",2023-03-01,10,8,10,10,10,10,1,0
control,yes,352418693,10,So easy to deal with,Internet,2023-03-01,10,10,10,10,10,10,1,0
control,yes,352459583,9,,,2023-03-01,,,,,,,1,0
control,yes,353181450,10,"Because I've always had a good relationship with company,until I came across unhelpful customer service employee the rest is history.","Customer Service,General,UK Legacy",2023-03-01,10,5,5,10,10,5,1,0
control,yes,352967209,10,,,2023-03-01,10,10,5,5,10,10,1,0
control,yes,352539627,10,Easy to join company. With the most friendly advisor,Customer Service,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353168648,9,The advisor I spoke to was very helpful and explained things clearly also she was very friendly and really understood what I was looking for and how best too help me.,"Internet,Internet Service,UK Legacy,Customer Service,General",2023-03-01,10,8,9,10,10,9,1,0
control,yes,352589388,0,I have had a bad experience with your customer services I am not proceeding with installation,"Customer Service,General,UK Legacy",2023-03-01,0,0,0,0,0,0,1,0
control,yes,352928048,10,,,2023-03-01,10,5,10,10,10,9,1,0
control,yes,353526430,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353324695,5,"Asking me about the service company Media supply, BEFORE I am connected is somewhat pointless. The Customer Support staff were very helpful , but the online mechanisms gave me a headache and I would certainly NOT recommend that mechanism to get a company Media service. Time will tells as to whether my score will increase.","Customer Service,General,UK Legacy",2023-03-01,9,5,5,9,9,5,1,0
control,yes,353509943,10,,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0
control,yes,353564966,4,"I ordered my package online which was meant to be an easy process, through the online chat system I was told if I wanted to change the delivery address to give company a quick call and this would be amended. This resulted in 3 hours on the phone with customer services being put through to different operators, on 2 occasions my whole order was processed again although I explained that I had already done all this online and just wanted to change the address. The operators where both trying to be helpful and I appreciate that but the process was very draining and 3 hours is a ridiculous amount of time.","Customer Service,Customer Service ¬_x001C_ Digital ¬_x001C_ WebChatGeneral,General Services,Processes/Journeys,Sales,UK Legacy",2023-03-01,2,6,5,2,8,7,1,0
control,yes,353596420,10,"friendly and good customer service, plus a suitable product and easy to sign up.","Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0
control,yes,352936385,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353658882,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353632198,7,,,2023-03-01,8,8,6,8,8,9,1,0
control,yes,353634160,10,I'm extremely happy with how quickly you've got me up and running no messing about like Vodafone. I'd happily recommend you to anyone for a fast trouble free experience from start to finish thank you to all your team,"Brand,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0
control,yes,353139131,10,"Very efficient, friendly but proffessional experience from initial phone call to fitting. Thankyou",,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353745653,9,Friendly services,General,2023-03-01,9,9,9,9,9,9,1,0
control,yes,353189174,8,,,2023-03-01,7,6,7,6,8,7,1,0
control,yes,353875127,10,Marco was very helpful,"Customer Service,General,UK Legacy",2023-03-01,10,10,10,10,10,10,1,0
control,yes,353170542,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353648744,6,,,2023-03-01,6,,,,,6,1,0
control,yes,353154871,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353721358,10,,,2023-03-01,,10,10,10,10,10,1,0
control,yes,353146954,10,,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353314492,0,"company Told me I had cable so was told to cancel sky on Tuesday as company was getting set up , company man turnt up and there¬""s no cable now have to wait more than 2 weeks with no internet, I have someone working from home that now can¬""t work and my daughter that is home schooled that now can¬""t do her lessons Thanks company I¬""m not even with you yet and I¬""m getting hassle¬¦!","Brand,UK Legacy",2023-03-01,0,0,0,0,6,0,1,0
control,yes,353815664,10,Very good service. Made a complicated thing easy.,General,2023-03-01,10,10,9,10,10,7,1,0
control,yes,353154649,0,indian call centres,,2023-03-01,10,0,0,10,10,5,1,0
control,yes,353813285,10,Excellent service,General,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353558400,10,The agent Sally has been extremely helpful and went the extra mile,"Customer Service,General,UK Legacy",2023-03-01,10,9,10,10,10,10,1,0
control,yes,354219331,10,,,2023-03-01,10,10,10,10,,10,1,0
control,yes,353570537,9,great service and good price,"General,Pricing,UK Legacy",2023-03-01,9,8,9,9,9,9,1,0
control,yes,354150184,10,Fast service and coverage,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,353712479,10,Very helpful,,2023-03-01,10,10,10,10,10,10,1,0
control,yes,354284360,7,,,2023-03-01,10,10,10,10,10,7,1,0
control,yes,353628729,9,Daughters organised my means of communication at distance for my return to live to England. They used you. All went smoothly and quickly.,Internet,2023-03-01,9,9,6,10,9,9,1,0
control,yes,353751132,0,"Absolutely awful sent me two HDMI leads no usb with plug for tele and box then had long winded messages to yourselves explaining they¬""d got it wrong then the woman said ok I¬""ll send a HDMI lead!!! I don¬""t need one I have two explained that again with another agent she apologised and I¬""ve come home to another HDMI!!! Lead seriously something wrong with people not doing their jobs properly absolutely shocking I¬""ve had to borrow a lead and plug, distributors not doing their job properly in packing, customer service not reading message properly then saying they¬""d got it right when clearly they haven¬""t, I¬""ve returned to company and was left to install everything myself and been charged a lot for my first bill it¬""s shocking","Pricing,Delivery and Installation",2023-03-01,8,3,5,8,10,5,1,0
control,yes,354233483,9,"My enquiry resolved, on time thought went through many unstackles",,2023-03-01,9,6,9,9,9,8,1,0
control,yes,353655428,9,,,2023-03-01,10,8,8,10,10,9,1,0
control,yes,354147697,10,Really friendly and experienced staff,Customer Service,2023-03-01,10,10,10,10,10,10,1,0
control,yes,354250684,9,Clara was very helpful and extremely patient with all of my questions,"Customer Service,General,UK Legacy",2023-03-01,10,,9,10,10,10,1,0
control,yes,354388883,9,,,2023-03-01,9,9,9,9,9,9,1,0
control,yes,354411252,9,,,2023-03-01,8,8,9,8,8,8,1,0
control,yes,353816004,10,Excellent service lovely representative Mathius,"General,Pricing,UK Legacy,Customer Service",2023-03-01,10,5,10,10,,10,1,0
